,SPXTR
14-Jun-21,8851.1664
11-Jun-21,8832.9436
10-Jun-21,8815.5619
9-Jun-21,8774.313
8-Jun-21,8789.9956
7-Jun-21,8788.2787
4-Jun-21,8795.0764
3-Jun-21,8717.9726
2-Jun-21,8748.2968
1-Jun-21,8734.7439
28-May-21,8738.7721
27-May-21,8730.9677
26-May-21,8720.0388
25-May-21,8703.5896
24-May-21,8721.9989
21-May-21,8635.5463
20-May-21,8641.98
19-May-21,8550.9451
18-May-21,8574.9782
17-May-21,8647.5687
14-May-21,8669.4901
13-May-21,8541.3856
12-May-21,8437.2353
11-May-21,8620.9786
10-May-21,8696.2936
7-May-21,8787.8151
6-May-21,8722.0359
5-May-21,8650.0382
4-May-21,8643.9128
3-May-21,8702.025
30-Apr-21,8678.1605
29-Apr-21,8740.3485
28-Apr-21,8681.1659
27-Apr-21,8688.4522
26-Apr-21,8690.257
23-Apr-21,8674.7964
22-Apr-21,8580.7307
21-Apr-21,8659.7989
20-Apr-21,8579.9467
19-Apr-21,8638.4211
16-Apr-21,8684.5063
15-Apr-21,8653.2873
14-Apr-21,8558.156
13-Apr-21,8592.2459
12-Apr-21,8564.03
9-Apr-21,8565.5729
8-Apr-21,8499.8502
7-Apr-21,8462.1752
6-Apr-21,8449.5416
5-Apr-21,8457.3966
1-Apr-21,8335.9091
31-Mar-21,8238.4829
30-Mar-21,8208.0974
29-Mar-21,8233.2449
26-Mar-21,8240.3815
25-Mar-21,8105.5113
24-Mar-21,8062.9963
23-Mar-21,8106.833
22-Mar-21,8169.1362
19-Mar-21,8112.1344
18-Mar-21,8116.1666
17-Mar-21,8237.3519
16-Mar-21,8213.6276
15-Mar-21,8226.3177
12-Mar-21,8172.8972
11-Mar-21,8162.5848
10-Mar-21,8078.0481
9-Mar-21,8029.2035
8-Mar-21,7916.4061
5-Mar-21,7958.9794
4-Mar-21,7806.4528
3-Mar-21,7911.2145
2-Mar-21,8015.5376
1-Mar-21,8080.7809
26-Feb-21,7892.8119
25-Feb-21,7929.563
24-Feb-21,8127.3785
23-Feb-21,8036.06
22-Feb-21,8025.814
19-Feb-21,8087.6824
18-Feb-21,8102.2426
17-Feb-21,8137.8789
16-Feb-21,8139.1555
12-Feb-21,8142.7881
11-Feb-21,8104.1947
10-Feb-21,8089.1098
9-Feb-21,8091.6972
8-Feb-21,8099.3319
5-Feb-21,8039.6709
4-Feb-21,8007.615
3-Feb-21,7920.8521
2-Feb-21,7912.8703
1-Feb-21,7804.3119
29-Jan-21,7681.0087
28-Jan-21,7831.2171
27-Jan-21,7754.7398
26-Jan-21,7959.0999
25-Jan-21,7970.9216
22-Jan-21,7942.2038
21-Jan-21,7966.11
20-Jan-21,7962.9193
19-Jan-21,7853.4701
15-Jan-21,7789.791
14-Jan-21,7846.0956
13-Jan-21,7874.7541
12-Jan-21,7856.7249
11-Jan-21,7853.4469
8-Jan-21,7905.2763
7-Jan-21,7861.0952
6-Jan-21,7744.4288
5-Jan-21,7700.3448
4-Jan-21,7645.2691
31-Dec-20,7759.3455
30-Dec-20,7709.098
29-Dec-20,7697.9263
28-Dec-20,7715.1016
24-Dec-20,7648.3927
23-Dec-20,7620.6341
22-Dec-20,7614.8318
21-Dec-20,7630.0744
